,name,gender,country,country_code,discipline,discipline_code,url,Age
164,AHYE Michelle-Lee,Female,Trinidad and Tobago,TTO,Athletics,ATH,../../../en/results/athletics/athlete-profile-n1468589-ahye-michelle-lee.htm,32
165,AI Yanhan,Female,People's Republic of China,CHN,Swimming,SWM,../../../en/results/swimming/athlete-profile-n1310756-ai-yanhan.htm,22
166,AICARDI Matteo,Male,Italy,ITA,Water Polo,WPO,../../../en/results/water-polo/athlete-profile-n1347429-aicardi-matteo.htm,38
168,AIGNER Hannes,Male,Germany,GER,Canoe Slalom,CSL,../../../en/results/canoe-slalom/athlete-profile-n1333386-aigner-hannes.htm,35
169,AILINCAI Adriana,Female,Romania,ROU,Rowing,ROW,../../../en/results/rowing/athlete-profile-n1287096-ailincai-adriana.htm,25
170,AIMABLE Steven,Male,Senegal,SEN,Swimming,SWM,../../../en/results/swimming/athlete-profile-n1432046-aimable-steven.htm,25
171,AINAGULOV Mirambek,Male,Kazakhstan,KAZ,Wrestling,WRE,../../../en/results/wrestling/athlete-profile-n1303794-ainagulov-mirambek.htm,30
172,AIOANI Marian,Male,Romania,ROU,Football,FBL,../../../en/results/football/athlete-profile-n1380567-aioani-marian.htm,24
173,AISAH Windy Cantika,Female,Indonesia,INA,Weightlifting,WLF,../../../en/results/weightlifting/athlete-profile-n1320668-aisah-windy-cantika.htm,21
174,AIT DAOUD Kamel,Male,Algeria,ALG,Rowing,ROW,../../../en/results/rowing/athlete-profile-n1377687-ait-daoud-kamel.htm,39
175,AIT OUAGRAM Zied,Male,Morocco,MAR,Wrestling,WRE,../../../en/results/wrestling/athlete-profile-n1436405-ait-ouagram-zied.htm,35
176,AIT SAID Samir,Male,France,FRA,Artistic Gymnastics,GAR,../../../en/results/artistic-gymnastics/athlete-profile-n1334960-ait-said-samir.htm,34
177,AITCHISON Holly,Female,Great Britain,GBR,Rugby Sevens,RUG,../../../en/results/rugby-sevens/athlete-profile-n1468795-aitchison-holly.htm,26
178,AIZAWA Akira,Male,Japan,JPN,Athletics,ATH,../../../en/results/athletics/athlete-profile-n1447822-aizawa-akira.htm,26
179,AJOMALE Bolade,Male,Canada,CAN,Athletics,ATH,../../../en/results/athletics/athlete-profile-n1432366-ajomale-bolade.htm,28
180,AKAHO Himawari,Female,Japan,JPN,Basketball,BKB,../../../en/results/basketball/athlete-profile-n1313636-akaho-himawari.htm,25
181,AKGUL Taha,Male,Turkey,TUR,Wrestling,WRE,../../../en/results/wrestling/athlete-profile-n1382412-akgul-taha.htm,33
182,AKGUN Omer,Male,Turkey,TUR,Shooting,SHO,../../../en/results/shooting/athlete-profile-n1340688-akgun-omer.htm,42
183,AKHAIMOVA Liliia,Female,ROC,ROC,Artistic Gymnastics,GAR,../../../en/results/artistic-gymnastics/athlete-profile-n1406265-akhaimova-liliia.htm,27
